latiude,longitude
35.253052,139.04966
35.43187,139.402191
35.361435,139.021805
35.986267,139.38443
36.254633,139.118769
36.255714,139.121193
36.255714,139.121193
35.461693,139.679497
35.551529,139.786194
35.551544,139.786171
35.154655,138.805099
35.160988,138.6175
35.160233,138.65918
35.157845,138.619797
35.157845,138.619797
35.160294,138.659142
35.160271,138.659126
35.492361,134.222133
35.49235,134.222139
35.492467,134.222133
35.492453,134.222119
35.492436,134.222144
35.291679,135.133507
34.998525,135.911025
34.839994,137.750219
34.575347,135.797708
34.663439,135.170689
36.20605,138.213514
35.165753,135.115561
34.996822,135.8826
35.314881,136.29135
34.507694,135.395483
35.07975,135.5138
34.589175,135.836461
35.004269,137.015525
34.558047,135.680953
35.091844,135.168208
35.132858,138.513775
35.356508,139.016811
35.673458,139.758719
35.673458,139.758719
35.673458,139.758719
35.673458,139.758719
35.673458,139.758719
35.673458,139.758719
35.673458,139.758719
35.673458,139.758719
35.673536,139.758531
35.673536,139.758531
35.673536,139.758531
35.673536,139.758531
35.673536,139.758531
35.673536,139.758531
35.673536,139.758531
35.673536,139.758531
35.673536,139.758531
35.673536,139.758531
35.673536,139.758531
35.673536,139.758531
35.673536,139.758531
35.673536,139.758531
35.673433,139.758628
35.673433,139.758628
35.673433,139.758628
34.969803,138.2912
35.265167,136.845589
35.265167,136.845589
35.173594,136.915236
35.173753,136.915231
34.9786,138.292694
35.673572,139.758814
35.673572,139.758814
35.673572,139.758814
35.673572,139.758814
35.673572,139.758814
35.673572,139.758814
35.673572,139.758814
35.673572,139.758814
35.673572,139.758814
35.673572,139.758814
35.673572,139.758814
35.673572,139.758814
35.673572,139.758814
35.673572,139.758814
35.673572,139.758814
35.145056,139.115383
35.372139,139.392406
35.673508,139.758803
35.673508,139.758803
35.673508,139.758803
35.673503,139.758672
35.673503,139.758672
35.673503,139.758672
35.673481,139.758611
35.673481,139.758611
35.673481,139.758611
35.673481,139.758611
35.673481,139.758611
35.67345,139.758786
35.67345,139.758786
35.67345,139.758786
35.67345,139.758786
35.67345,139.758786
35.67345,139.758786
35.67345,139.758786
35.67345,139.758786
35.67345,139.758786
35.67345,139.758786
35.67345,139.758786
35.67345,139.758786
35.67345,139.758786
35.67345,139.758786
35.152125,138.812514
34.839897,137.750008
34.843069,137.74925
35.154564,138.805178
36.34345,140.443906
36.343419,140.443847
36.343397,140.443875
36.343389,140.44385
36.343425,140.443858
36.343417,140.443864
36.343403,140.443872
36.343408,140.443856
36.343403,140.443847
36.34335,140.443833
34.925194,137.513067
35.056339,137.160219
35.130581,138.512678
35.132114,136.993933
35.712275,137.90645
37.338347,138.475964
36.271703,137.931564
35.713053,137.908819
35.454222,137.438567
35.056189,137.160256
35.05635,137.160242
34.718622,137.272842
34.718622,137.272842
35.123939,137.092053
35.230422,138.902903
34.925172,137.513072
35.12395,137.092061
35.154744,138.805128
35.230483,138.902953
35.231239,138.9027
35.230422,138.902883
35.056294,137.160414
35.056344,137.160325
35.07845,137.159469
34.963639,137.421147
35.056353,137.160431
35.056314,137.160333
35.123947,137.092078
34.925178,137.513044
35.056272,137.160397
34.925181,137.513069
34.750564,137.397442
34.883903,136.826847
34.883806,136.826869
34.967108,137.157414
34.937472,137.165261
35.056428,137.160406
35.078447,137.159608
35.365011,136.680303
35.392542,136.787681
35.392556,136.787722
35.392556,136.787722
35.392556,136.787722
35.392456,136.820222
35.392656,136.787669
35.385178,136.824614
35.2196,136.284858
34.97785,135.949728
34.724128,135.350558
34.609861,135.961972
35.056422,137.160158
35.056331,137.1601
34.977733,135.949606
34.864344,134.952706
34.864344,134.952706
34.609994,135.961864
35.056308,137.160364
34.977767,135.949647
34.259447,134.684969
34.609883,135.961956
35.056175,137.160386
34.977828,135.949806
34.559294,135.680922
35.056428,137.160331
34.978589,138.292714
35.313942,138.962008
36.159169,139.364464
35.314031,138.968414
34.839906,137.750261
34.718592,137.272814
35.078489,137.159639
35.078603,137.159769
34.937492,137.165122
35.056344,137.160392
34.843228,137.74915
34.8431,137.749253
35.161053,138.617572
35.305486,138.770044
34.839908,137.749992
35.154517,138.805192
36.254642,139.118633
35.454303,137.438653
35.056308,137.160403
35.078464,137.159614
35.018764,136.59045
35.041217,137.047092
35.132853,138.513747
35.152114,138.812439
34.925181,137.513072
35.056294,137.160397
35.278567,136.847022
36.134069,137.166372
35.997633,138.15765
35.997581,138.157569
35.346331,137.15335
35.341592,136.9272
35.940753,137.082136
36.149667,137.245861
36.137814,137.245197
34.843531,137.749522
34.783467,135.525314
